Taxon	fad_Ma	lad_Ma	body_length_m	log10(body_length_m)	skull_length_mm	math.log10(skull_length_mm)	orbit_length_mm	math.log10(orbit_length_mm)
Suevoleviathan_disinteger	181.7	180.36	4.31	0.63447727	860	2.934498451	170	2.230448921
Suevoleviathan_integer	181.7	180.36	3.05	0.484299839				
Sveltonectes_insolitus	129.6	126.3					130	2.113943352
Temnodontosaurus_azerguensis	180.36	178.24						
Temnodontosaurus_eurycephalus	199.3	197.8			1020	3.008600172	200	2.301029996
Temnodontosaurus_nuertingensis	190.8	187.56	1.28	0.10720997				
Temnodontosaurus_platyodon	200.1	196.31	6.38	0.804820679	1790	3.252853031	237	2.374748346
Temnodontosaurus_trigonodon	182.7	180.36	5.17	0.713490543	1090	3.037426498	150	2.176091259
Thaisaurus_chonglakmanii	250.01	247.1						
Thalattoarchon_saurophagis	247.1	244.6	8.6	0.934498451	1200	3.079181246	308	2.488550717
Tholodus_schmidi	241	237						
Toretocnemus_californicus	233.5	228.35						
Toretocnemus_zitteli	233.5	228.35						
Undorosaurus_gorodischensis	147.9	146.9						
Undorosaurus_trautscholdi	147.9	146.6						
Utatsusaurus_hataii	247.9	247.71	3	0.477121255	215	2.33243846		
Wimanius_odontopalatus	241.5	237						
Xinminosaurus_catactes	244.94	241.5	2.32	0.365487985	290	2.462397998		
