scaling_method,root_age
mbl,257.901141577659
mbl,260.82508866475
mbl,258.685461192392
mbl,262.782135070916
mbl,258.018360309885
mbl,261.306045122962
mbl,259.753251210907
mbl,262.636521143038
mbl,261.276883079656
mbl,262.444023358072
mbl,254.960537287085
mbl,256.095159609122
mbl,254.589062403236
mbl,254.767692169966
mbl,256.154629942826
mbl,255.360021006926
mbl,255.159882658229
mbl,254.974652501913
mbl,255.036165516423
mbl,254.772302342979
mbl,258.855053362614
mbl,261.267645016136
mbl,260.988734355252
mbl,261.864935213779
mbl,258.218156468843
mbl,258.723371793795
mbl,258.748697834881
mbl,258.253286109655
mbl,258.909500448829
mbl,258.546946424588
mbl,257.95317424926
mbl,259.176923263622
mbl,258.23373839654
mbl,258.160107114331
mbl,258.74869968948
mbl,259.476982247995
mbl,258.219736967452
mbl,258.209025725729
mbl,258.365071050446
mbl,258.084449299467
mbl,255.19241700764
mbl,256.222626492567
mbl,254.9126907721
mbl,254.786196035056
mbl,256.337659198784
mbl,255.870255102413
mbl,255.57999289226
mbl,255.336772602722
mbl,256.451508309795
mbl,256.523866099934
mbl,256.924020766343
mbl,256.379495446384
mbl,256.937828246988
mbl,256.474614306833
mbl,257.470685748572
mbl,256.13635676225
mbl,256.321561709482
mbl,256.483316397218
mbl,256.270561445723
mbl,256.175386744435
mbl,258.700687043054
mbl,259.123334186284
mbl,259.426992514292
mbl,259.808247707288
mbl,260.45601011378
mbl,260.423953836632
mbl,258.958532041304
mbl,259.511520611476
mbl,259.62693525885
mbl,259.107789882736
mbl,255.342118935827
mbl,257.113566628862
mbl,255.352064259513
mbl,256.094056019112
mbl,255.684474498895
mbl,257.69175452183
mbl,257.906925887982
mbl,255.963097839747
mbl,256.349382233564
mbl,256.971571518029
mbl,261.827252588253
mbl,261.413370623919
mbl,261.557752763669
mbl,262.652980450948
mbl,261.648119545092
mbl,261.538386269496
mbl,263.293059735796
mbl,263.523021555727
mbl,263.469526847932
mbl,262.191679043784
mbl,258.56120358929
mbl,257.432214939315
mbl,257.906726617482
mbl,257.450788207049
mbl,257.635787301394
mbl,258.747962537035
mbl,257.631527176988
mbl,257.297772897105
mbl,257.5367260359
mbl,257.426598169461
mbl,257.863038022071
mbl,257.840538082148
mbl,258.175790646558
mbl,257.849466925326
mbl,258.319310783844
mbl,257.766730534022
mbl,257.6388350256
mbl,258.614997308487
mbl,258.5081334564
mbl,258.031789239182
mbl,256.580908534783
mbl,258.389566766764
mbl,257.01639898075
mbl,256.522196903452
mbl,256.867053010119
mbl,257.017285059111
mbl,257.902931587268
mbl,257.225453878976
mbl,256.745479339231
mbl,256.874238047365
mbl,258.329159829463
mbl,258.596661557374
mbl,258.497334862989
mbl,258.796678862157
mbl,258.615106661152
mbl,258.678031781851
mbl,258.339258572482
mbl,258.427268589777
mbl,258.599917462142
mbl,258.535962862358
mbl,257.470810784074
mbl,257.677300033905
mbl,257.327896330087
mbl,257.619808183098
mbl,257.276106873457
mbl,257.278088292037
mbl,257.247862383188
mbl,257.418087496469
mbl,257.568120648549
mbl,257.485340839531
mbl,262.090311784949
mbl,261.725391671201
mbl,262.65929936849
mbl,260.909491306923
mbl,260.947459527664
mbl,261.461305833375
mbl,262.098312480496
mbl,261.909221437573
mbl,261.21308201167
mbl,262.932172401855
mbl,260.078710693072
mbl,258.970467585006
mbl,260.026232070383
mbl,259.710013985673
mbl,259.769300410813
mbl,259.571969104088
mbl,259.138003482469
mbl,259.721952146827
mbl,260.554393116911
mbl,258.37730536253
mbl,259.985520338113
mbl,260.930840841685
mbl,260.432513352772
mbl,260.380938498222
mbl,260.476527195168
mbl,259.905806348242
mbl,260.758258730152
mbl,261.699612556566
mbl,259.581352174135
mbl,261.005157271135
mbl,259.917820512482
mbl,260.539652401067
mbl,259.324026976246
mbl,260.72359800397
mbl,259.254993084748
mbl,259.875624079222
mbl,260.130707836903
mbl,258.628900518536
mbl,260.395248790495
mbl,260.15503935992
mbl,260.71377843969
mbl,257.667027547378
mbl,259.834056194853
mbl,258.437991877161
mbl,257.925856383995
mbl,258.407687677238
mbl,259.335762270864
mbl,260.810290220273
mbl,260.831019211328
mbl,260.244575951537
mbl,260.361769131646
mbl,260.53536458788
mbl,259.38588605084
mbl,259.64717722496
mbl,260.482583769073
mbl,260.068642709767
mbl,258.522641534256
mbl,260.243658510796
mbl,260.275478935526
mbl,260.178442213316
mbl,258.040789475592
mbl,257.265604994849
mbl,256.507327216025
mbl,256.739569317144
mbl,258.194760420988
mbl,256.896340952786
mbl,256.833289231742
mbl,258.358231645585
mbl,257.355639361178
mbl,256.425870548885
mbl,262.312127281642
mbl,261.999227968017
mbl,260.486100122074
mbl,262.430933742332
mbl,261.065209924902
mbl,260.972975610036
mbl,261.556213427933
mbl,261.328661378017
mbl,261.980048172327
mbl,261.367193905073
mbl,255.372322737449
mbl,256.034053693214
mbl,255.468056597561
mbl,255.505305801739
mbl,255.520998228039
mbl,255.344820018089
